title,info,stage,insight
Topics,{},Unknown,Monitor startup for future developments.
More from TechCrunch,{},Unknown,Monitor startup for future developments.
,{},Unknown,Monitor startup for future developments.
"AI-powered travel agency Fora hits unicorn status, raises $60M",{},Unknown,Monitor startup for future developments.
The founder who left Google and secured a $300M pre-seed valuation in months,{},Seed,Monitor startup for future developments.
Sheryl Sandberg leads $10 million investment in AI-powered vehicle inspection service,{},Unknown,Monitor startup for future developments.
Why AMI Labs’ Alexandre LeBrun won’t call his AI ‘AGI’ or ‘superintelligence’,{},Unknown,Monitor startup for future developments.
How Elorian AI pulled off a $300M pre-seed valuation,{},Seed,Monitor startup for future developments.
"Ultrahuman’s former hardware VP raises $5.5M for devices that control AI agents, not just record you",{},Unknown,Monitor startup for future developments.
Lululemon backs nylon-recycling startup Syntetica in $30M Series A,{},Early Growth,Monitor startup for future developments.
Applied Computing wants to give oil and gas operators an AI model for the entire plant,{},Unknown,Monitor startup for future developments.
Daniel Ek’s body-scanning startup Neko Health raises another $700M,{},Unknown,Monitor startup for future developments.
Whatnot acquires Shaped to power real-time live shopping recommendations,{'Acquisition': 'Yes'},Unknown,Expanding through acquisitions.
"Inside Ode with Anthropic, the startup betting AI services are the future of enterprise",{},Unknown,Monitor startup for future developments.
"Anthropic, Blackstone bet the next trillion-dollar AI business is implementation, not just models",{},Unknown,Monitor startup for future developments.
Reelful’s AI turns your camera roll into short-form videos for social media,{},Unknown,Monitor startup for future developments.
Indian AI coding startup Emergent becomes a unicorn with $130M Series C,{},Late Stage,Monitor startup for future developments.
"Backed by $60M in funding, Oak steps out of stealth to fix the identity mess that AI agents are making worse",{},Unknown,Monitor startup for future developments.
"DeepSeek reportedly in talks to raise $1.5B, then IPO",{},Unknown,Monitor startup for future developments.
Pinwheel launches a retro-inspired landline phone for kids,{'Launch': 'Yes'},Unknown,Recently launched a product.
Hermes agent maker Nous Research in talks for new funding at $1.5B valuation,{},Unknown,Monitor startup for future developments.
"Phia accused of ‘cookie stuffing,’ taking affiliate credit on purchases it didn’t earn",{},Unknown,Monitor startup for future developments.
"Open source AI matters more than ever, according to Hugging Face’s Clem Delangue",{},Unknown,Monitor startup for future developments.
Oratomic raises $300M to build a viable quantum computer that needs only 20K qubits,{},Unknown,Monitor startup for future developments.
Hugging Face’s CEO on why companies are done renting their AI,{},Unknown,Monitor startup for future developments.
An AI agent startup just let its agent run its $100M fundraise,{},Unknown,Monitor startup for future developments.
Charles Hudson shares the common mistakes he’s seen after investing in 500+ startups,{},Unknown,Monitor startup for future developments.
Mercor is in talks for a $20B valuation,{},Unknown,Monitor startup for future developments.
Why raising your first round is harder than ever,{},Unknown,Monitor startup for future developments.
The new rules of early-stage fundraising with Charles Hudson,{},Unknown,Monitor startup for future developments.
"Popular open source AI developer tool Ollama raises $65M, grows to nearly 9M users",{},Unknown,Monitor startup for future developments.
Nandan Nilekani leaves GP role at Fundamentum as it launches $200M third fund,{'Launch': 'Yes'},Unknown,Recently launched a product.
Lovable reportedly in talks to double its valuation to $13.2B,{},Unknown,Monitor startup for future developments.
"Tesla driver in fatal Texas crash pressed accelerator 100%, NTSB confirms",{},Unknown,Monitor startup for future developments.
OpenAI’s first hardware device is reportedly a screenless speaker that can move,{},Unknown,Monitor startup for future developments.
Anthropic’s newest ad is creeping people out,{},Unknown,Monitor startup for future developments.
Satya Nadella has issued a shocking warning to companies using AI,{},Unknown,Monitor startup for future developments.
The wildest allegations in Apple’s trade secrets lawsuit against OpenAI,{},Unknown,Monitor startup for future developments.
"Anthropic starts localizing Claude pricing for India, its biggest market after the US",{},Unknown,Monitor startup for future developments.
Meta removes controversial AI feature on Instagram after backlash,{},Unknown,Monitor startup for future developments.
